id,sku,precio,fecha_actualizacion,fecha_vigencia,costo_producto,costo_traspaso,costo_almacenamiento
1,3548644,369990, 03/23/2014, 06/12/2014,284893,4673,736
2,3478040,4900, 03/06/2014, 05/23/2014,3871,67,11
3,3652565,244990, 03/06/2014, 04/29/2014,176148,2467,487
4,3495825,16990, 03/06/2014, 05/10/2014,10772,164,29
5,3173327,159990, 03/06/2014, 04/28/2014,114713,2065,265
6,1887293,17900, 03/06/2014, 05/26/2014,11564,216,31
7,3633256,8990, 03/06/2014, 06/05/2014,6051,96,13
8,3578331,399990, 03/06/2014, 05/29/2014,287993,3658,697
9,3733744,44990, 03/06/2014, 04/26/2014,31853,583,75
10,3893981,99990, 03/06/2014, 05/16/2014,68194,1201,163
11,3792132,29900, 03/06/2014, 05/02/2014,23203,321,61
12,3661672,4990, 03/06/2014, 05/03/2014,3444,42,10
13,3564700,21990, 03/06/2014, 05/03/2014,16999,278,51
14,3243820,54990, 03/06/2014, 06/05/2014,40253,620,93
15,2735704,2990, 03/06/2014, 05/18/2014,2222,32,6
16,3573751,89900, 03/06/2014, 05/29/2014,66616,926,162
17,2201907,5990, 03/06/2014, 04/26/2014,4014,64,9
18,2881993,24990, 03/06/2014, 05/30/2014,16869,188,45
19,3871447,399990, 03/06/2014, 06/14/2014,245594,2849,509
20,3367931,19990, 03/06/2014, 05/22/2014,14713,206,38
21,3363306,24990, 03/06/2014, 05/08/2014,19143,192,51
22,3697717,19990, 03/06/2014, 05/30/2014,15473,243,45
23,3744278,169990, 03/06/2014, 05/27/2014,133273,2386,330
24,3710367,29990, 03/06/2014, 05/30/2014,18384,363,46
25,3462071,7990, 03/06/2014, 05/05/2014,5873,69,13
26,3174411,99990, 03/06/2014, 06/04/2014,66694,841,192
27,2810003,29990, 03/06/2014, 05/23/2014,22373,403,55
28,2440577,6990, 03/06/2014, 05/11/2014,5264,96,13
29,2688125,189990, 03/06/2014, 06/08/2014,137173,2511,387
30,3744284,119990, 03/06/2014, 05/23/2014,82554,859,204
31,3738778,259990, 03/06/2014, 05/29/2014,183553,3194,441
32,3549033,3990, 03/06/2014, 05/09/2014,3129,51,9
33,70355,28990, 03/06/2014, 05/21/2014,19337,256,46
34,3864692,29990, 03/06/2014, 05/02/2014,22043,298,60
35,3619611,19990, 03/06/2014, 05/15/2014,14713,242,42
36,3535697,9990, 03/06/2014, 05/23/2014,7893,102,19
37,3607480,64990, 03/06/2014, 05/01/2014,48938,602,139
38,3669716,25990, 03/06/2014, 05/02/2014,16114,286,43
39,880159182,17990, 03/06/2014, 06/07/2014,12935,231,32
40,3363144,19490, 03/06/2014, 05/23/2014,14969,180,36
41,880111368,17990, 03/06/2014, 04/27/2014,12252,157,34
42,2201906,5990, 03/06/2014, 05/26/2014,4217,44,10
