SKU,Marca,Modelo,PrecioNormal,PrecioInternet,Descripcion,Imagen,Categoria1,Categoria2,Categoria3,Categoria4,Categoria5,Categoria6,Categoria7,Categoria8
3548644,Apple,"iPad Retina 9"" 32GB Wi-Fi",369990,329990,a,http://integra.ing.puc.cl/IMAGENESTI/3548644.jpeg,Regalos,Por Eventos,,,,,,
3478040,Be Feelosophy,Crema de Manos Aromatherapy Sleep Well 100 ml,0,4900,a,http://integra.ing.puc.cl/IMAGENESTI/3478040.jpeg,Belleza,Marcas Belleza,Mavala,Zoya,Amano,Be Feelosophy,,
3652565,Mica,Mueble de Cocina Lirio ,244990,139990,a,http://integra.ing.puc.cl/IMAGENESTI/3652565.jpeg,Dormitorio,Muebles Dormitorio,Muebles Organizadores,Racks,,,,
3495825,Tweezerman,Pinza Grande Rosada,0,16990,a,http://integra.ing.puc.cl/IMAGENESTI/3495825.jpeg,Belleza,Marcas Belleza,Burts Bees,,,,,
3173327,Electrolux,Freezer Vertical  EFUP195YSKW  165 lt,0,159990,a,http://integra.ing.puc.cl/IMAGENESTI/3173327.jpeg,Especiales ,MacBook Air,Novios Ideas,,,,,
1887293,Clinique,City Block Sheer 40 ml,0,17900,a,http://integra.ing.puc.cl/IMAGENESTI/1887293.jpeg,Solares,,,,,,,
3633256,Kor,Botella Aura 500 ml Azul,0,8990,a,http://integra.ing.puc.cl/IMAGENESTI/3633256.jpeg,Infantil,Especiales infantiles,Mundo Lego,,,,,
3578331,Apple,"iPad Mini/Celular 7,9"" 64GB Wi-Fi + 3G",0,399990,a,http://integra.ing.puc.cl/IMAGENESTI/3578331.jpeg,Especiales ,Apple,iPad,,,,,
3733744,Wahl,Cortadora de Pelo ,44990,39990,a,http://integra.ing.puc.cl/IMAGENESTI/3733744.jpeg,Falabella TV,Salud y Belleza,Estar linda, estar bien,,,,
3893981,Saverio di Ricci,Sandalia Negra 7000,0,99990,a,http://integra.ing.puc.cl/IMAGENESTI/3893981.jpeg,Calzado ,Calzado Mujer,Botines,,,,,
3792132,Puma,Reloj Unisex Azul,0,29900,a,http://integra.ing.puc.cl/IMAGENESTI/3792132.jpeg,Moda  ,Relojes,Reloj Mujer,,,,,
3661672,Mango,Camiseta Sport ,0,4990,a,http://integra.ing.puc.cl/IMAGENESTI/3661672.jpeg,Moda  ,Marcas Moda,Mango,,,,,
3564700,Marmot,Short 2 en 1 Ascend Negro,0,21990,a,http://integra.ing.puc.cl/IMAGENESTI/3564700.jpeg,Deportes,Accesorios Deportivos,Vestuario Outdoor,Poleras y Polerones,,,,
3243820,Zwilling,Cuchillo Rebanar 20 Professional,0,54990,a,http://integra.ing.puc.cl/IMAGENESTI/3243820.jpeg,Decohogar,Marcas Decohogar,,,,,,
2735704,Bestway,Flotador Boar  18 x 11.7 ,0,2990,a,http://integra.ing.puc.cl/IMAGENESTI/2735704.jpeg,Solares,,,,,,,
3573751,Salomon,Zapatilla Hombre Elios,89900,69990,a,http://integra.ing.puc.cl/IMAGENESTI/3573751.jpeg,Especiales ,BUSCADOR ZAPATILLAS,Outdoor ,Sol,,,,
2201907,Epson,Tinta 73N Color Magenta,0,5990,a,http://integra.ing.puc.cl/IMAGENESTI/2201907.jpeg,Escolares,,,,,,,
2881993,Gama,Masajeador Espalda,0,24990,a,http://integra.ing.puc.cl/IMAGENESTI/2881993.jpeg,Belleza,Belleza Hombre,Salud y Bienestar,,,,,
3871447,Rosen,Box Spring Ergo T 1.5 Plazas + Muebles Veneto + Textil,399990,259990,a,http://integra.ing.puc.cl/IMAGENESTI/3871447.jpeg,Especiales ,Ergo-t,,,,,,
3367931,Mica,Alfombra Cotton 60 x 110 cm Dhurrie Green,0,19990,a,http://integra.ing.puc.cl/IMAGENESTI/3367931.jpeg,Dormitorio,Muebles Dormitorio,Muebles Organizadores,Racks,,,,
3363306,Benefit,Perfume Laugh Whit Me Lee Lee EDT 30 ml,0,24990,a,http://integra.ing.puc.cl/IMAGENESTI/3363306.jpeg,Belleza,Marcas Belleza,Benefit,Accesorios,,,,
